timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617384977737,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384977749,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384977761,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384977773,18,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,18,0,0
1617384977792,12,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384977804,13,HTTP Request,308,Permanent Redirect,Thread Group 1-3,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384979543,27,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,27,0,16
1617384979570,13,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384979583,16,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384979599,13,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384979612,17,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,17,0,0
1617384979629,15,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384979644,10,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384979654,14,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384979668,14,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384979682,12,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384979694,13,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384979707,12,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384979720,15,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384979735,11,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384979746,16,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384979762,14,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384979776,15,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384979791,17,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,17,0,0
1617384979809,10,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384979820,13,HTTP Request,308,Permanent Redirect,Thread Group 1-4,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384981544,40,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,40,0,16
1617384981584,14,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384981599,14,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384981613,11,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384981624,10,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384981635,9,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,9,0,0
1617384981644,9,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,9,0,0
1617384981653,11,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384981664,12,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384981676,12,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384981688,12,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384981700,15,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384981715,16,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384981731,13,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384981744,10,HTTP Request,308,Permanent Redirect,Thread Group 1-5,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
